#,Date,LTP,%Change,High,Low,Open,QTY,Turnover

1,2024/03/14,471.90,-0.23,480.00,468.30,480.00,"48,287","22,778,295.10"
2,2024/03/13,473.00,0.85,479.90,467.00,477.00,"66,733","31,614,147.30"
3,2024/03/12,469.00,4.27,470.00,455.00,458.70,"62,909","29,076,699.00"
4,2024/03/10,449.80,0.97,451.00,447.00,448.00,"38,263","17,184,098.60"
5,2024/03/07,445.50,0.79,450.00,442.00,450.00,"27,778","12,360,332.50"
6,2024/03/06,442.00,-0.9,450.00,440.00,448.00,"46,408","20,614,974.90"
7,2024/03/05,446.00,-2.68,459.00,435.00,459.00,"85,486","38,275,055.40"
8,2024/03/04,458.30,8.09,458.30,432.00,432.40,"14,359","6,514,387.20"
9,2024/03/03,424.00,-1.28,432.00,422.00,429.50,"57,099","24,247,315.80"
10,2024/02/29,429.50,-1.26,435.00,429.00,435.00,"84,087","36,293,346.10"
11,2024/02/28,435.00,-0.64,442.00,435.00,442.00,"32,394","14,143,989.00"
12,2024/02/27,437.80,0.88,440.00,432.50,434.00,"44,089","19,182,202.40"
13,2024/02/26,434.00,-0.57,440.00,430.10,436.50,"63,611","27,597,828.00"
14,2024/02/25,436.50,-1.91,445.00,434.00,445.00,"68,284","29,943,351.10"
15,2024/02/22,445.00,-0.89,452.90,443.00,450.00,"62,441","27,844,413.90"
16,2024/02/21,449.00,0,454.80,448.00,450.00,"61,605","27,709,782.70"
17,2024/02/20,449.00,-1.9,460.00,448.00,456.00,"90,305","40,799,800.60"
18,2024/02/18,457.70,-1.04,465.00,455.50,456.00,"65,595","30,047,882.80"
19,2024/02/15,462.50,-0.64,466.00,462.00,465.00,"51,339","23,763,885.70"
20,2024/02/14,465.50,-1.27,471.50,464.50,471.50,"63,187","29,432,541.50"
21,2024/02/13,471.50,-1.15,479.90,469.10,477.00,"83,243","39,335,243.70"
22,2024/02/12,477.00,0.42,477.00,474.00,476.00,"48,708","23,137,701.80"
23,2024/02/11,475.00,-0.31,486.00,474.50,486.00,"87,081","41,536,813.40"
24,2024/02/08,476.50,0.29,480.00,475.00,476.00,"40,791","19,428,344.20"
25,2024/02/07,475.10,0.02,484.50,474.50,484.50,"72,757","34,651,267.20"
26,2024/02/06,475.00,0,484.00,475.00,479.00,"62,626","29,864,909.30"
27,2024/02/05,475.00,-0.42,481.00,474.90,481.00,"65,154","31,059,134.50"
28,2024/02/04,477.00,-0.75,483.90,477.00,480.60,"79,654","38,139,312.60"
29,2024/02/01,480.60,-0.83,494.20,480.00,494.20,"88,972","42,874,748.30"
30,2024/01/31,484.60,-0.49,490.00,484.60,489.00,"101,519","49,422,553.30"
31,2024/01/30,487.00,-0.2,494.00,485.00,485.00,"58,884","28,719,052.70"
32,2024/01/29,488.00,-0.61,495.00,485.00,492.00,"112,649","54,993,722.60"
33,2024/01/28,491.00,0.61,497.00,487.70,497.00,"62,690","30,688,492.60"
34,2024/01/25,488.00,0.64,492.50,483.20,492.50,"78,635","38,332,635.40"
35,2024/01/24,484.90,0.08,493.00,484.00,492.00,"75,048","36,499,765.10"
36,2024/01/23,484.80,-0.86,496.00,484.00,489.00,"102,276","49,850,590.00"
37,2024/01/22,489.00,-0.81,495.00,486.50,495.00,"106,960","52,410,361.90"
38,2024/01/21,493.00,-1,504.00,492.00,504.00,"85,324","42,440,772.60"
39,2024/01/18,498.00,-1.19,507.00,498.00,507.00,"78,196","39,099,071.90"
40,2024/01/17,504.00,0.6,512.00,503.00,503.50,"111,028","56,271,981.30"
41,2024/01/16,501.00,1.31,502.00,498.00,500.00,"126,928","63,423,350.80"
42,2024/01/14,494.50,0.3,501.00,493.50,500.00,"66,912","33,128,429.60"
43,2024/01/11,493.00,0.2,499.90,490.00,499.00,"52,810","26,080,337.00"
44,2024/01/10,492.00,0.41,500.00,490.00,495.00,"91,478","45,338,816.50"
45,2024/01/09,490.00,0.39,495.00,488.10,488.10,"123,332","60,580,784.60"
46,2024/01/08,488.10,-0.39,495.00,488.00,495.00,"109,400","53,586,128.10"
47,2024/01/07,490.00,-1.11,500.00,489.50,500.00,"97,677","48,049,103.80"
48,2024/01/04,495.50,-0.1,500.90,495.00,498.00,"93,743","46,626,099.40"
49,2024/01/03,496.00,-0.78,501.50,488.60,500.00,"150,208","74,243,709.50"
50,2024/01/02,499.90,-1.19,510.00,498.00,506.00,"97,243","48,739,674.80"
51,2024/01/01,505.90,-0.02,513.00,505.00,513.00,"56,006","28,388,629.60"
52,2023/12/28,506.00,-0.39,514.00,499.00,499.00,"55,161","27,984,384.90"
53,2023/12/27,508.00,-1.36,520.00,508.00,520.00,"70,880","36,195,148.50"
54,2023/12/24,515.00,-1.53,527.00,515.00,523.00,"85,406","44,347,884.30"
55,2023/12/21,523.00,0.58,525.00,520.00,520.00,"91,036","47,621,680.70"
56,2023/12/20,520.00,0.39,528.00,518.60,525.00,"145,825","75,974,172.10"
57,2023/12/19,518.00,0.97,523.20,514.00,523.20,"91,419","47,333,207.90"
58,2023/12/18,513.00,0,519.50,510.00,513.70,"110,278","56,583,376.50"
